ts_utc,ts_msk,azs_total,azs_available,p_med_АИ-92,p_p10_АИ-92,p_p90_АИ-92,p_min_АИ-92,p_max_АИ-92,p_n_АИ-92,p_navail_АИ-92,p_fresh_АИ-92,p_med_АИ-95,p_p10_АИ-95,p_p90_АИ-95,p_min_АИ-95,p_max_АИ-95,p_n_АИ-95,p_navail_АИ-95,p_fresh_АИ-95,p_med_АИ-98,p_p10_АИ-98,p_p90_АИ-98,p_min_АИ-98,p_max_АИ-98,p_n_АИ-98,p_navail_АИ-98,p_fresh_АИ-98,p_med_АИ-100,p_p10_АИ-100,p_p90_АИ-100,p_min_АИ-100,p_max_АИ-100,p_n_АИ-100,p_navail_АИ-100,p_fresh_АИ-100,p_med_ДТ,p_p10_ДТ,p_p90_ДТ,p_min_ДТ,p_max_ДТ,p_n_ДТ,p_navail_ДТ,p_fresh_ДТ,gb_total,gb_yes,gb_no,gb_queue,gb_low,gb_unknown,gb_now_92,gb_now_95,gb_now_98,gb_now_100,gb_now_ДТ,net95_med,net95_n,indep95_med,indep95_n,spread95,net95_Роснефть,net95_Газпромнефть,net95_Лукойл
2026-07-08 14:54:13,2026-07-08 17:54:13,1255,1029,65.15,63.95,79.9,55.99,134.0,1094,911,,71.8,69.83,89.9,62.09,139.0,989,829,,104.48,99.9,127.4,96.99,133.0,20,15,,98.3,95.69,99.99,84.65,115.11,398,370,,79.65,77.94,89.98,68.89,145.0,934,766,,1274,551,470,79,25,149,449,393,174,186,467,,,,,,,,
2026-07-08 14:54:37,2026-07-08 17:54:37,1255,1029,65.15,63.95,79.9,55.99,134.0,1094,911,,71.8,69.83,89.9,62.09,139.0,989,829,,104.48,99.9,127.4,96.99,133.0,20,15,,98.3,95.69,99.99,84.65,115.11,398,370,,79.65,77.94,89.98,68.89,145.0,934,766,,1274,551,470,79,25,149,449,393,174,186,467,,,,,,,,
2026-07-08 15:09:27,2026-07-08 18:09:27,1254,1028,65.15,63.95,79.9,55.99,134.0,1094,911,,71.8,69.83,89.9,62.09,139.0,989,829,,104.48,99.9,127.4,96.99,133.0,20,15,,98.3,95.73,99.99,84.65,115.11,398,370,,79.65,77.94,89.98,68.89,145.0,934,766,,1274,552,479,80,24,139,464,403,184,195,476,,,,,,,,
2026-07-08 15:37:12,2026-07-08 18:37:12,1255,1030,65.15,63.95,79.9,55.99,134.0,1094,911,,71.8,69.83,89.9,62.09,139.0,989,830,,104.48,99.9,127.4,96.99,133.0,20,15,,98.3,95.69,99.99,84.65,115.11,398,371,,79.65,77.94,89.98,68.89,145.0,934,766,,1274,552,484,79,26,133,469,411,190,192,489,,,,,,,,
2026-07-08 15:51:57,2026-07-08 18:51:57,1254,1029,65.15,63.95,79.9,55.99,134.0,1093,910,,71.8,69.83,89.9,62.09,139.0,988,829,,104.48,99.9,127.4,96.99,133.0,20,15,,98.3,95.69,99.99,84.65,115.11,398,371,,79.65,77.94,89.98,68.89,145.0,933,765,,1274,551,488,80,25,130,463,414,198,199,485,,,,,,,,
2026-07-08 16:05:01,2026-07-08 19:05:01,1254,1029,65.15,64.0,79.9,55.99,134.0,1093,910,981,71.77,69.8,89.9,62.09,139.0,988,829,879,99.9,99.9,130.6,96.99,133.0,20,15,12,99.4,95.95,102.9,84.65,110.0,398,371,238,79.65,78.09,89.98,68.89,145.0,933,765,856,1274,550,488,79,27,130,459,415,191,193,480,,,,,,,,
2026-07-08 19:27:16,2026-07-08 22:27:16,1254,1026,65.19,64.0,79.9,55.99,134.0,1093,908,996,71.8,69.83,89.9,62.09,139.0,988,826,906,99.9,99.9,130.6,96.99,133.0,20,15,12,99.4,96.22,102.9,84.65,110.0,399,373,243,79.65,78.09,89.98,68.89,145.0,933,763,865,1274,541,530,92,20,91,434,393,169,166,452,,,,,,,,
2026-07-08 20:51:32,2026-07-08 23:51:32,1252,984,65.19,63.99,79.9,55.99,134.0,1094,869,841,71.67,69.75,89.9,62.09,139.0,989,789,739,99.9,99.9,127.4,99.9,133.0,20,15,8,99.4,97.85,102.9,84.65,110.0,399,354,163,79.65,78.09,89.9,68.89,142.0,934,726,796,1275,540,530,89,21,95,396,380,153,150,417,71.25,537,79.99,202,8.74,71.25,71.42,71.92
2026-07-08 21:06:46,2026-07-09 00:06:46,1252,952,65.19,63.99,79.9,55.99,134.0,1094,838,841,71.67,69.75,89.9,62.09,139.0,989,760,739,99.9,99.9,127.4,99.9,133.0,20,16,8,99.4,97.85,102.9,84.65,110.0,399,337,163,79.65,78.09,89.9,68.89,142.0,934,695,796,1275,545,529,85,20,96,389,368,153,144,410,71.25,537,79.99,202,8.74,71.25,71.42,71.92
2026-07-08 21:23:50,2026-07-09 00:23:50,1247,1015,65.19,63.99,79.9,55.99,134.0,1089,899,845,71.72,69.75,89.9,62.09,139.0,984,817,744,99.9,99.9,127.4,99.9,133.0,20,16,8,99.4,97.85,102.9,84.65,110.0,398,372,163,79.65,78.09,89.9,68.89,142.0,929,754,796,1275,541,533,85,20,96,381,358,144,139,394,71.29,539,79.99,205,8.7,71.25,71.48,71.92
